Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1684884564486
Timestamp end: 1684886364923

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      396.9   324.5   160.7   219.4   231.5   338.2   422.3   476.1   514.6   554.8   599.5   666.6  1020.3  3988.0 13059.5  42829.7    42912
read      367.9   393.5   160.7   220.8   233.8   325.5   378.5   410.3   434.7   465.9   507.2   577.0   808.3  4563.4 13346.5  99913.1    99898
read      409.6   397.7   160.7   220.9   233.7   357.0   459.5   504.6   532.8   562.8   596.5   650.0   945.9  4642.7 12110.3  26367.9    26385
read      412.1   339.7   173.5   221.9   235.1   371.6   464.8   504.8   530.1   556.9   589.3   640.3   968.0  4046.1 13076.7  22532.9    22616
read      390.2   284.7   160.7   220.5   233.5   340.3   417.0   463.2   498.6   538.3   584.3   649.5   960.5  3601.1  9346.1  50467.6    50605
read      348.8   173.3   160.7   218.7   230.6   319.1   373.9   406.4   431.3   461.2   499.7   559.7   694.8  1328.3  7070.8  90337.7    90283
read      399.2   265.2   160.7   224.1   239.3   367.3   459.1   499.1   524.2   549.4   581.6   628.1   744.2  2252.4 10950.1  26351.4    26273
read      382.0   196.8   160.7   221.8   236.4   344.6   419.6   463.4   495.9   532.2   573.7   629.3   771.8  1372.8  7593.4  48577.8    48521
read      393.9   199.1   160.7   223.5   238.7   357.0   443.9   491.3   521.2   551.6   587.0   636.9   773.8  1625.1  7104.1  34096.8    34058
read      360.1   195.8   160.7   219.3   231.8   326.8   388.4   424.3   451.2   483.6   525.6   586.9   727.0  1485.6  7851.7  75673.9    75648
read      406.2   230.8   160.7   227.1   242.9   395.6   469.0   499.9   520.8   543.3   573.3   617.7   734.8  2109.1  9822.5  19535.0    19482
