Random waveform, supplied seed
Total number of intervals = 102 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343)
Average QPS expected = 50954
Timestamp start: 1684938351964
Timestamp end: 1684939372366

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      344.2   431.3   148.8   209.6   221.9   305.1   351.9   379.1   399.5   425.8   461.3   518.4   692.3  5716.5 17839.0  97289.5    97350
read      353.0   311.6   160.7   210.6   222.9   306.9   362.8   400.6   432.4   470.5   515.6   573.8   824.3  3431.6 11716.3  55384.5    55460
read      344.1   340.5   160.7   209.6   221.8   305.2   354.2   383.3   404.9   434.1   473.4   537.1   740.2  4558.6 11286.9  85970.8    85984
read      342.9   364.6   160.7   208.4   220.5   301.5   349.9   378.8   401.4   431.5   472.5   536.3   747.7  4416.5 12851.4  82099.3    82043
read      349.1   242.3   160.7   209.8   222.1   304.9   360.6   400.2   433.6   472.6   516.6   573.4   752.9  3456.0  8608.0  52920.0    52873
read      443.2   779.4   160.7   215.6   229.2   361.3   428.6   467.5   495.7   527.8   567.5   634.5  2577.6  9974.5 35733.1  13840.0    13911
read      356.9   424.6   160.7   208.3   220.4   301.9   357.1   397.0   429.7   467.3   509.1   566.2   975.4  5337.8 13886.4  50030.9    49984
read      428.7   904.4   173.5   222.1   237.5   347.9   397.7   425.8   446.0   469.0   500.5   552.7  2120.4 11824.8 35610.7   9275.8     9274
read      381.0   624.8   160.7   210.4   222.6   318.3   399.7   439.1   462.6   488.5   518.7   571.1   987.9  8269.2 31422.5  27261.6    27187
read      447.3   761.1   160.7   213.2   227.1   364.7   444.9   496.7   534.0   574.2   622.8   696.6  1981.3 11365.9 31864.5  18738.4    18735
read      341.0   325.7   160.7   208.5   220.6   299.1   345.7   374.1   397.3   427.4   469.3   537.0   963.6  3819.8 11915.9  86389.2    86505
read      334.6   309.9   160.7   207.9   220.0   299.0   344.9   371.8   393.0   419.6   456.9   515.9   695.9  3897.5 12402.7  93162.8    93039
read      334.9   302.9   160.7   207.6   219.5   297.1   343.8   372.6   396.4   427.5   469.9   532.2   690.8  3638.3 10634.5  75789.0    75999
read      354.8   291.5   160.7   210.0   222.1   307.3   383.1   426.3   453.3   480.8   510.3   550.1   747.0  3473.8 10095.9  32310.1    32324
read      333.2   292.4   160.7   207.8   219.9   298.4   344.9   372.9   395.8   424.9   464.6   525.5   673.4  3435.5 11206.2  84348.7    84255
read      338.0   339.2   160.7   208.4   220.5   300.5   347.7   376.5   399.4   429.4   469.6   531.4   683.7  3912.1 12209.8  81855.0    81759
read      404.1   448.8   160.7   211.0   223.1   310.1   385.6   434.8   467.5   502.8   544.5   660.5  2354.0  5387.1 10773.1  37317.5    37291
read      346.9   356.3   160.7   208.3   220.4   300.4   353.1   390.8   422.1   459.6   502.6   554.8   741.0  5160.9 12395.3  53793.5    53818
read      358.3   372.0   160.7   209.5   221.5   308.8   386.7   428.5   454.6   481.5   510.2   550.1   752.0  4082.2 12743.0  30335.1    30297
read      353.3   237.0   148.8   210.0   222.1   308.6   386.2   429.0   455.5   482.7   512.0   552.1   729.0  2925.3  9692.4  31595.5    31569
read      354.3   292.8   160.7   209.5   221.6   305.0   373.3   419.4   450.7   483.2   518.6   566.4   775.0  3589.7  9474.8  38946.5    38927
read      419.7   783.0   173.5   220.0   234.4   354.1   409.2   440.9   463.8   491.7   527.2   584.4  1859.2  8787.7 36364.2  10713.2    10652
read      343.4   333.6   160.7   208.9   221.3   302.9   348.6   375.4   396.9   424.3   462.7   528.5  1074.2  3900.7 12061.7  98068.9    98119
read      348.9   301.0   148.8   209.4   221.7   303.1   360.5   402.2   436.1   473.8   514.9   567.6   761.2  3131.3 11013.2  48244.9    48176
read      355.9   300.6   160.7   210.1   222.3   307.3   380.8   427.0   456.6   486.8   519.8   566.0   741.7  3234.4 12326.6  34858.8    34929
read      341.2   313.4   160.7   209.4   221.6   301.4   349.9   381.0   406.1   440.8   486.5   546.4   720.2  3635.8 11221.5  69817.0    69735
read      448.5   760.2   160.7   213.9   227.8   364.9   441.8   490.0   529.1   575.9   633.9   722.2  1908.2  9876.9 31850.9  20781.9    20753
read      344.3   320.1   160.7   209.5   222.0   303.4   350.8   379.6   401.9   431.9   473.1   540.7  1029.6  3495.2 12695.9  84816.9    84642
